id,username,text,retweets,favorites,replies,permalink,date,mentions,hashtags,Tweet_Token,Tweet_Location_Found
1200509010174038016,FashionNourishd,"Watching a #JacksonChameleon #climb up a tree, you see them #figureout how to take their #nextstep & eventually #makeit to their #destination. Food for thought. What’s the next step your taking towards your #goal? #FashionablyNourished #lizard #FashionablyNourishedLife #Mauipic.twitter.com/yADwi9Ro3h",0,0,0,https://twitter.com/FashionNourishd/status/1200509010174038016,2019-11-29 20:17:07+00:00,,#JacksonChameleon #climb #figureout #nextstep #makeit #destination #goal #FashionablyNourished #lizard #FashionablyNourishedLife #Mauipic,"['Watching', 'a', '#JacksonChameleon', '#climb', 'up', 'a', 'tree', ',', 'you', 'see', 'them', '#figureout', 'how', 'to', 'take', 'their', '#nextstep', '&', 'eventually', '#makeit', 'to', 'their', '#destination', '.', 'Food', 'for', 'thought', '.', 'What', '’', 's', 'the', 'next', 'step', 'your', 'taking', 'towards', 'your', '#goal', '?', '#FashionablyNourished', '#lizard', '#FashionablyNourishedLife', '#Mauipic', '.twitter.com/yADwi9Ro3h']",['to']
1200503121920659456,CheapFlyME,#Vancouver #Canada To #London #UK $C438 Jan 15-30 2020 https://flights.cheapflyme.com/flights/YVR1501LON30011 … #TravelTuesday #tt #ttot #TBEX #LP #MexMonday #BeachThursday #rtw #TravelMassive #Travel #cheapflights #tourism #destination #travel #vacation #video #tips #hotel #today #blog #review #travelingpic.twitter.com/gOwZc2zxee,0,0,0,https://twitter.com/CheapFlyME/status/1200503121920659456,2019-11-29 19:53:43+00:00,,#Vancouver #Canada #London #UK #TravelTuesday #tt #ttot #TBEX #LP #MexMonday #BeachThursday #rtw #TravelMassive #Travel #cheapflights #tourism #destination #travel #vacation #video #tips #hotel #today #blog #review #travelingpic,"['#Vancouver', '#Canada', 'To', '#London', '#UK', '$', 'C438', 'Jan', '15-30', '2020', 'https://flights.cheapflyme.com/flights/YVR1501LON30011', '…', '#TravelTuesday', '#tt', '#ttot', '#TBEX', '#LP', '#MexMonday', '#BeachThursday', '#rtw', '#TravelMassive', '#Travel', '#cheapflights', '#tourism', '#destination', '#travel', '#vacation', '#video', '#tips', '#hotel', '#today', '#blog', '#review', '#travelingpic', '.twitter.com/gOwZc2zxee']",['to']
1200500471577956352,Sorothavy,"#booking #flight #adventure #explore #destination If you want to book any destination, car rental, hotel, and the events tickets: click and share here, thank you. http://bit.ly/2NlRQSo",1,0,0,https://twitter.com/Sorothavy/status/1200500471577956352,2019-11-29 19:43:11+00:00,,#booking #flight #adventure #explore #destination,"['#booking', '#flight', '#adventure', '#explore', '#destination', 'If', 'you', 'want', 'to', 'book', 'any', 'destination', ',', 'car', 'rental', ',', 'hotel', ',', 'and', 'the', 'events', 'tickets', ':', 'click', 'and', 'share', 'here', ',', 'thank', 'you', '.', 'http://bit.ly/2NlRQSo']","['and', 'to']"
1200493123983405056,TravelGumbo,Today's featured #destination #travelblog. #Ron's #Antique #Radio #museum in #Pennsylvania. #ttot https://www.travelgumbo.com/blog/ron-s-antique-radio-museum-pennsylvania …pic.twitter.com/T7ExbqeSbH,0,0,0,https://twitter.com/TravelGumbo/status/1200493123983405056,2019-11-29 19:13:59+00:00,,#destination #travelblog #Ron #Antique #Radio #museum #Pennsylvania #ttot,"[""Today's"", 'featured', '#destination', '#travelblog', '.', ""#Ron's"", '#Antique', '#Radio', '#museum', 'in', '#Pennsylvania', '.', '#ttot', 'https://www.travelgumbo.com/blog/ron-s-antique-radio-museum-pennsylvania', '…', 'pic.twitter.com/T7ExbqeSbH']",['in']
1200474587294769154,KASAHotelParota,Welcome to #Paradise. It's really amazing to visit this beautiful place called #Tulum. https://hubs.ly/H0m05bT0 Book now! #vacation #beach #smallluxuryhotels #tropical #waves #holidays #nature #sun #happy #hotel #mexico #caribbean #fun #travel #destination #jungle #sandpic.twitter.com/bYiWYBKGtC,0,0,0,https://twitter.com/KASAHotelParota/status/1200474587294769154,2019-11-29 18:00:20+00:00,,#Paradise #Tulum #vacation #beach #smallluxuryhotels #tropical #waves #holidays #nature #sun #happy #hotel #mexico #caribbean #fun #travel #destination #jungle #sandpic,"['Welcome', 'to', '#Paradise', '.', ""It's"", 'really', 'amazing', 'to', 'visit', 'this', 'beautiful', 'place', 'called', '#Tulum', '.', 'https://hubs.ly/H0m05bT0', 'Book', 'now', '!', '#vacation', '#beach', '#smallluxuryhotels', '#tropical', '#waves', '#holidays', '#nature', '#sun', '#happy', '#hotel', '#mexico', '#caribbean', '#fun', '#travel', '#destination', '#jungle', '#sandpic', '.twitter.com/bYiWYBKGtC']",['to']
1200472705541083136,U_Hoteltk,Hotels in Switzerland -→ http://www.wonderful-hotels.com/Place/Switzerland.htm … #Switzerland #Hotel #Travel #Holiday #Vacation #Destination #HotelDeals,0,0,0,https://twitter.com/U_Hoteltk/status/1200472705541083136,2019-11-29 17:52:51+00:00,,#Switzerland #Hotel #Travel #Holiday #Vacation #Destination #HotelDeals,"['Hotels', 'in', 'Switzerland', '-', '→', 'http://www.wonderful-hotels.com/Place/Switzerland.htm', '…', '#Switzerland', '#Hotel', '#Travel', '#Holiday', '#Vacation', '#Destination', '#HotelDeals']","['switzerland', 'in']"
1200470077847588864,andrewgardiner,Another sign project completed. Design and production of simple stylish brushed aluminium composite panel and matt black cutout vinyl lettering applied. Affixed to curved brick wall #signage #graphics #wayfinding #destination #designmatterspic.twitter.com/AWtBgBvKFe,0,1,0,https://twitter.com/andrewgardiner/status/1200470077847588864,2019-11-29 17:42:24+00:00,,#signage #graphics #wayfinding #destination #designmatterspic,"['Another', 'sign', 'project', 'completed', '.', 'Design', 'and', 'production', 'of', 'simple', 'stylish', 'brushed', 'aluminium', 'composite', 'panel', 'and', 'matt', 'black', 'cutout', 'vinyl', 'lettering', 'applied', '.', 'Affixed', 'to', 'curved', 'brick', 'wall', '#signage', '#graphics', '#wayfinding', '#destination', '#designmatterspic', '.twitter.com/AWtBgBvKFe']","['and', 'to']"
1200468196337295364,LiveEnhance,Tourist Spots In The Philippines . Visit http://bit.ly/2OzGHOK for more ideas. . #liveenhanced #tourist #destination #Philippinespic.twitter.com/ZlSUq0ExWx,0,0,0,https://twitter.com/LiveEnhance/status/1200468196337295364,2019-11-29 17:34:56+00:00,,#liveenhanced #tourist #destination #Philippinespic,"['Tourist', 'Spots', 'In', 'The', 'Philippines', '.', 'Visit', 'http://bit.ly/2OzGHOK', 'for', 'more', 'ideas', '. .', '#liveenhanced', '#tourist', '#destination', '#Philippinespic', '.twitter.com/ZlSUq0ExWx']","['in', 'philippines']"
1200466695250300928,nishtunishaa,Few them Don't know What their Destination is in life And they start walking On the path of yoga #amwriting #nishtunishaa #dimpleverse #destination #yogapic.twitter.com/jbxcbQeoBm,1,6,0,https://twitter.com/nishtunishaa/status/1200466695250300928,2019-11-29 17:28:58+00:00,,#amwriting #nishtunishaa #dimpleverse #destination #yogapic,"['Few', 'them', ""Don't"", 'know', 'What', 'their', 'Destination', 'is', 'in', 'life', 'And', 'they', 'start', 'walking', 'On', 'the', 'path', 'of', 'yoga', '#amwriting', '#nishtunishaa', '#dimpleverse', '#destination', '#yogapic', '.twitter.com/jbxcbQeoBm']","['and', 'in', 'is']"
1200459628666073089,IledeRe_,Le côté obscur de ... l'Ile de Ré The dark side of ... Ile de Ré #iledere #destination #dark #sombre #nuit #night #evening #autumn ©Destination Ile de Répic.twitter.com/hPcCsTjlZy,0,14,0,https://twitter.com/IledeRe_/status/1200459628666073089,2019-11-29 17:00:53+00:00,,#iledere #destination #dark #sombre #nuit #night #evening #autumn,"['Le', 'côté', 'obscur', 'de', '...', ""l'Ile"", 'de', 'Ré', 'The', 'dark', 'side', 'of', '...', 'Ile', 'de', 'Ré', '#iledere', '#destination', '#dark', '#sombre', '#nuit', '#night', '#evening', '#autumn', '©', 'Destination', 'Ile', 'de', 'Répic', '.twitter.com/hPcCsTjlZy']",['de']
