id,username,text,retweets,favorites,replies,permalink,date,mentions,hashtags
1200511485853798400,oxguin,#GetAWay,0,0,0,https://twitter.com/oxguin/status/1200511485853798400,2019-11-29 20:26:57+00:00,,#GetAWay
1200511023599562753,PineLakeRentals,Book your #Holiday #getaway in of our luxury vacation lodges! Check availability and property details @PinehurstLodge_ and #DulceVidaLodge at http://www.PineLakeAtBrokenBowRentals.com #vacationrental #vrbo #tistheseason #booknow #brokenbow #hochatown #beaversbend #oklahoma #staycationpic.twitter.com/6SSrnhSkAp,0,0,0,https://twitter.com/PineLakeRentals/status/1200511023599562753,2019-11-29 20:25:07+00:00,@PinehurstLodge_,#Holiday #getaway #DulceVidaLodge #vacationrental #vrbo #tistheseason #booknow #brokenbow #hochatown #beaversbend #oklahoma #staycationpic
1200509597229948930,bertabarbosa,"#Outlander on #Netflix season 3 is coming in December. I can’t wait! In the meantime, if you have been to #Scotland, please share your stories, pictures, favorite things to do and places to go. #ScotlandHighlands #travel #getaway #beautifulcountries",0,0,0,https://twitter.com/bertabarbosa/status/1200509597229948930,2019-11-29 20:19:27+00:00,,#Outlander #Netflix #Scotland #ScotlandHighlands #travel #getaway #beautifulcountries
1200509126612148225,Petite_teph,A d i o s . . . . . . . . #vscocam #portrait #amsterdam #inspiration #love #journal #colors #boho #getaway #inspo #design #mood #type #museum #art #vintage #style #coffeeshop #breakfast #ootd https://www.instagram.com/p/B5bxHnTgJny/?igshid=1ybwo81pucjf …,0,0,0,https://twitter.com/Petite_teph/status/1200509126612148225,2019-11-29 20:17:34+00:00,,#vscocam #portrait #amsterdam #inspiration #love #journal #colors #boho #getaway #inspo #design #mood #type #museum #art #vintage #style #coffeeshop #breakfast #ootd
1200508678333317120,bestforluxury,#Travel #Flights #Hotel #Holidays #Getaway #Vacation #Weekend #Escape #Experiences: English Local Deal: VIP Evening City Tour & Dinner for £630.00 - http://bitly.com/2qLZY6t pic.twitter.com/aEjahFPrf5,0,0,0,https://twitter.com/bestforluxury/status/1200508678333317120,2019-11-29 20:15:47+00:00,,#Travel #Flights #Hotel #Holidays #Getaway #Vacation #Weekend #Escape #Experiences
1200508051587059712,JeffJLange2,"Tahiti is full of pristine, secluded beaches that would delight any #traveler. Read here for more #getaway ideas. http://cpix.me/a/86803289 pic.twitter.com/WJQsy9OB99",0,0,0,https://twitter.com/JeffJLange2/status/1200508051587059712,2019-11-29 20:13:18+00:00,,#traveler #getaway
1200507632374702080,jenchaseusa,TSA precheck can be surprisingly helpful when you go on #vacation. #getaway http://cpix.me/a/86857744 pic.twitter.com/hjLJuMDQKg,0,0,0,https://twitter.com/jenchaseusa/status/1200507632374702080,2019-11-29 20:11:38+00:00,,#vacation #getaway
1200505869890273280,DebraHill8910,#activities #amusement #entertainment #events #getaway #ThingsToDo #travel #vacation #BlackFriday #gifts Black Friday Sale: TODAY ONLY…Up to 25% OFF on Activities!!https://www.patreon.com/posts/black-friday-up-31949035?utm_medium=social&utm_source=twitter&utm_campaign=postshare …,0,0,0,https://twitter.com/DebraHill8910/status/1200505869890273280,2019-11-29 20:04:38+00:00,,#activities #amusement #entertainment #events #getaway #ThingsToDo #travel #vacation #BlackFriday #gifts
1200505827297153024,bestforluxury,#Travel #Destinations #Visit #England #Places #Getaway #Flights #Hotel #Cruises #Holidays #places2go #Weekend #Offer: English Holidays: 3-7 Night 4* Hotel Stay with Flights for just: £89.00 => http://bitly.com/2zEu1Oe pic.twitter.com/kbJMnk3MiL,0,0,0,https://twitter.com/bestforluxury/status/1200505827297153024,2019-11-29 20:04:28+00:00,,#Travel #Destinations #Visit #England #Places #Getaway #Flights #Hotel #Cruises #Holidays #places2go #Weekend #Offer
1200503959355613186,VisitPeaks,#FridayVibes #winteriscomming so let's snuggle and keep warm with a log fire #Getaway - both our cottages have fires with unlimited free logs and kindling. Just to keep our guests nice and toasty and warm! http://bit.ly/2IHY2yP pic.twitter.com/Fb8BMukTvy,0,0,0,https://twitter.com/VisitPeaks/status/1200503959355613186,2019-11-29 19:57:02+00:00,,#FridayVibes #winteriscomming #Getaway
